07/29/15 21:47:12:126 | [INFO] |  | ASU | LWANative | LWANative |  |  | 230710 | Build Version - 9.0.0.106
07/29/15 21:47:12:126 | [INFO] |  | ASU | LWANative | LWANative |  |  | 230710 | Logging Level verbosity Set  to 4
07/29/15 21:47:13:450 | [INFO] |  | ASU | LWANative | P7Native |  |  | 230710 | Start : pwa_openSession
07/29/15 21:47:13:450 | [INFO] |  | ASU | LWANative | P7Native |  |  | 230710 | pwa_openSession Session key : 60294ADB-D4E5-465B-BB4D-E08EFE61992D
07/29/15 21:47:13:485 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Build Version - 9.0.0.78
07/29/15 21:47:13:485 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Logging Level verbosity Set  to 4
07/29/15 21:47:13:487 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
07/29/15 21:47:13:487 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | No Record found for the input fields in opm_getValueForKey
07/29/15 21:47:13:487 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Released OPM refrence successfully in opm_freeLibRef
07/29/15 21:47:13:660 | [INFO] |  | ASU | LWANative | P7Native |  |  | 230710 | End : pwa_openSession
07/29/15 21:47:13:663 | [INFO] |  | ASU | LWANative | P7Native |  |  | 230710 | Start : pwa_getDeviceID
07/29/15 21:47:13:664 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Build Version - 9.0.0.106
07/29/15 21:47:13:664 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Logging Level verbosity Set  to 4
07/29/15 21:47:13:667 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Schema version and schema compatibility version are same or greater than current

07/29/15 21:47:13:667 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
07/29/15 21:47:13:667 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | No Record found for the input fields in opm_getValueForKey
07/29/15 21:47:13:667 | [WARN] |  | ASU | OPM | OPMWrapper |  |  | 230710 | Failed in getting value for key in OPMGetValueForKey
07/29/15 21:47:13:667 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | OOBELibSessionForDeviceID : DeviceId not present in local db generating it from scratch in pwa_getDeviceID
07/29/15 21:47:13:667 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | Start : generateDeviceID
07/29/15 21:47:13:672 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | End : generateDeviceID
07/29/15 21:47:13:672 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | End : pwa_getDeviceID
07/29/15 21:47:13:672 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Released OPM refrence successfully in opm_freeLibRef
07/29/15 21:47:13:675 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | Start : pwa_getMachineHashedID
07/29/15 21:47:13:677 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | End : pwa_getMachineHashedID
07/29/15 21:47:13:679 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | Start : pwa_closeSession
07/29/15 21:47:13:713 | [INFO] |  | ASU | OPM | P7Native |  |  | 230710 | End : pwa_closeSession
07/29/15 21:47:13:714 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Build Version - 9.0.1.57
07/29/15 21:47:13:715 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Logging Level verbosity Set  to 4
07/29/15 21:47:13:716 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Schema version and schema compatibility version are same or greater than current

07/29/15 21:47:13:716 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
07/29/15 21:47:13:716 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | No Record found for the input fields in opm_getValueForKey
07/29/15 21:47:13:716 | [INFO] |  | ASU | OPM | OPM |  |  | 230710 | Released OPM refrence successfully in opm_freeLibRef
